iter	Passed	Remaining
401	12541	9889
402	12560	9849
403	12580	9808
404	12599	9768
405	12619	9728
406	12638	9688
407	12657	9648
408	12677	9608
409	12698	9570
410	12719	9532
411	12740	9493
412	12760	9454
413	12781	9416
414	12801	9377
415	12820	9338
416	12840	9299
417	12859	9260
418	12880	9222
419	12899	9183
420	12919	9144
421	12938	9106
422	12958	9067
423	12977	9029
424	12998	8991
425	13017	8953
426	13037	8915
427	13056	8877
428	13076	8839
429	13096	8801
430	13116	8764
431	13135	8726
432	13155	8689
433	13175	8651
434	13195	8615
435	13217	8578
436	13237	8542
437	13257	8505
438	13278	8469
439	13297	8431
440	13316	8394
441	13336	8357
442	13355	8320
443	13374	8283
444	13393	8246
445	13413	8210
446	13432	8173
447	13451	8137
448	13472	8101
449	13491	8064
450	13511	8029
451	13531	7993
452	13550	7957
453	13570	7921
454	13590	7885
455	13610	7850
456	13630	7814
457	13649	7778
458	13668	7742
459	13688	7707
460	13708	7672
461	13729	7637
462	13749	7602
463	13770	7567
464	13789	7532
465	13809	7497
466	13829	7462
467	13848	7427
468	13868	7392
469	13887	7357
470	13907	7322
471	13926	7287
472	13945	7252
473	13965	7218
474	13983	7183
475	14002	7148
476	14021	7113
477	14042	7080
478	14061	7045
479	14080	7011
480	14100	6976
481	14119	6942
482	14139	6908
483	14158	6874
484	14178	6840
485	14198	6806
486	14219	6773
487	14240	6740
488	14260	6707
489	14280	6673
490	14299	6640
491	14319	6606
492	14338	6573
493	14358	6539
494	14377	6506
495	14396	6472
496	14416	6439
497	14435	6406
498	14455	6373
499	14474	6339
500	14494	6306
501	14513	6273
502	14533	6240
503	14552	6208
504	14572	6175
505	14592	6142
506	14611	6109
507	14630	6076
508	14649	6044
509	14668	6011
510	14689	5979
511	14710	5947
512	14731	5915
513	14751	5883
514	14771	5851
515	14792	5819
516	14811	5787
517	14830	5754
518	14849	5722
519	14869	5690
520	14889	5658
521	14908	5626
522	14928	5594
523	14948	5562
524	14966	5530
525	14987	5499
526	15006	5467
527	15026	5435
528	15046	5404
529	15066	5372
530	15085	5340
531	15105	5309
532	15124	5278
533	15144	5246
534	15163	5215
535	15183	5183
536	15204	5153
537	15224	5122
538	15245	5091
539	15265	5060
540	15285	5029
541	15305	4998
542	15324	4967
543	15344	4936
544	15363	4905
545	15382	4874
546	15401	4843
547	15420	4811
548	15440	4781
549	15460	4750
550	15480	4719
551	15501	4689
552	15520	4659
553	15540	4628
554	15560	4598
555	15581	4567
556	15610	4540
557	15630	4509
558	15650	4479
559	15670	4449
560	15689	4418
561	15710	4389
562	15731	4358
563	15751	4328
564	15771	4298
565	15791	4268
566	15811	4238
567	15831	4208
568	15851	4178
569	15871	4148
570	15890	4118
571	15910	4088
572	15929	4058
573	15949	4029
574	15969	3999
575	15989	3969
576	16009	3939
577	16029	3910
578	16050	3880
579	16069	3851
580	16089	3821
581	16109	3792
582	16128	3762
583	16148	3732
584	16167	3703
585	16186	3673
586	16207	3644
587	16227	3615
588	16247	3586
589	16268	3557
590	16289	3528
591	16309	3498
592	16328	3469
593	16348	3440
594	16369	3411
595	16388	3382
596	16409	3353
597	16429	3324
598	16449	3295
599	16468	3266
600	16488	3237
601	16507	3208
602	16527	3179
603	16547	3150
604	16567	3121
605	16586	3092
606	16606	3064
607	16626	3035
608	16646	3006
609	16665	2978
610	16686	2949
611	16708	2921
612	16728	2892
613	16749	2864
614	16768	2835
615	16788	2807
616	16808	2778
617	16827	2750
618	16848	2721
619	16868	2693
620	16887	2665
621	16906	2636
622	16926	2608
623	16946	2579
624	16966	2551
625	16985	2523
626	17005	2495
627	17026	2467
628	17046	2439
629	17065	2410
630	17085	2382
631	17105	2354
632	17125	2326
633	17145	2298
634	17164	2270
635	17185	2242
636	17207	2215
637	17228	2187
638	17251	2159
639	17273	2132
640	17293	2104
641	17313	2076
642	17332	2048
643	17351	2020
644	17371	1993
645	17390	1965
646	17410	1937
647	17429	1909
648	17449	1882
649	17469	1854
650	17488	1826
651	17508	1799
652	17527	1771
653	17547	1744
654	17566	1716
655	17585	1688
656	17605	1661
657	17624	1633
658	17643	1606
659	17663	1578
660	17682	1551
661	17703	1524
662	17723	1497
663	17743	1469
664	17763	1442
665	17784	1415
666	17804	1388
667	17823	1360
668	17842	1333
669	17861	1306
670	17880	1279
671	17900	1251
672	17920	1224
673	17940	1197
674	17959	1170
675	17978	1143
676	17997	1116
677	18017	1089
678	18036	1062
679	18056	1035
680	18075	1008
681	18094	981
682	18112	954
683	18132	927
684	18151	900
685	18170	874
686	18189	847
687	18210	820
688	18230	793
689	18250	767
690	18271	740
691	18291	713
692	18310	686
693	18329	660
694	18348	633
695	18367	606
696	18387	580
697	18406	553
698	18425	527
699	18444	500
700	18463	474
701	18482	447
702	18502	421
703	18522	394
704	18541	368
705	18559	341
706	18579	315
707	18599	288
708	18619	262
709	18638	236
710	18657	209
711	18677	183
712	18697	157
713	18718	131
714	18739	104
715	18759	78
716	18779	52
717	18799	26
718	18818	0
