iter	MultiClass
202	0.9953811182
203	0.9938003194
204	0.9923596399
205	0.9909807
206	0.9895237274
207	0.9882651045
208	0.9866786976
209	0.9853810106
210	0.9840361996
211	0.9827801589
212	0.9815191403
213	0.9799641756
214	0.9786453277
215	0.9774878434
216	0.9763258344
217	0.9747614987
218	0.9733130722
219	0.9717217914
220	0.9703947669
221	0.9693456949
222	0.9676077002
223	0.965088318
224	0.9633971248
225	0.9621265833
226	0.9606168616
227	0.9594963056
228	0.9582622927
229	0.9569999335
230	0.9557056969
231	0.9543260024
232	0.9532157484
233	0.9517558326
234	0.9503144289
235	0.949195662
236	0.9477793589
237	0.9463157439
238	0.9451191629
239	0.9441587892
240	0.9430394075
241	0.9418196989
242	0.9409006521
243	0.9395518216
244	0.9383027082
245	0.9370127952
246	0.935922195
247	0.9343542816
248	0.9325902623
249	0.9313819918
250	0.9302817145
251	0.9291068326
252	0.9278939992
253	0.9265989796
254	0.9255055588
255	0.9243106423
256	0.9233403924
257	0.9220181256
258	0.9208945278
259	0.919866725
260	0.9186973738
261	0.917490315
262	0.9163068621
263	0.9150592937
264	0.9138332063
265	0.9126825574
266	0.9114625937
267	0.9104783112
268	0.9091647275
269	0.9079975417
270	0.9068538481
271	0.9056258719
272	0.9045421704
273	0.903658926
274	0.9024436409
275	0.9012628311
276	0.8999541733
277	0.8988751178
278	0.8978185115
279	0.8961110683
280	0.8948513806
281	0.8938004297
282	0.892370423
283	0.8916552196
284	0.8904947246
285	0.8890075615
286	0.8878608614
287	0.8863952697
288	0.8852831733
289	0.8841716372
290	0.8830399478
291	0.8819827029
292	0.8805334137
293	0.8794051109
294	0.8780642604
295	0.8771155439
296	0.8759899904
297	0.8747146212
298	0.8734491942
299	0.8725255168
300	0.871410536
301	0.8703529773
302	0.869316616
303	0.8684065003
304	0.867223374
305	0.8662556544
306	0.8650910931
307	0.8639755024
308	0.8627568586
309	0.8609025605
310	0.8594746491
311	0.8586724844
312	0.8577700876
313	0.8561249725
314	0.8552741028
315	0.8544499077
316	0.8533773436
317	0.8522256844
318	0.8513593361
319	0.8504647039
320	0.8493249831
321	0.8482348459
322	0.847109909
323	0.8460302914
324	0.8450945808
325	0.8441082421
326	0.8432205263
327	0.8422010647
328	0.8412183612
329	0.8401914676
330	0.8388497157
331	0.8380969475
332	0.8371642331
333	0.8360705186
334	0.8348907903
335	0.8338903886
336	0.8326749125
337	0.8317491693
338	0.8310591233
339	0.8301291937
340	0.8288923852
341	0.8279022793
342	0.827030003
343	0.826041478
344	0.8250142489
345	0.8237798424
346	0.8229347416
347	0.8216559599
348	0.8205457346
349	0.8194559256
350	0.8183938736
351	0.8173633286
352	0.8162185476
353	0.8149231957
354	0.8141068447
355	0.8132763922
356	0.8122403959
357	0.8114285499
358	0.8105318483
359	0.809594883
360	0.8084224594
361	0.8075490662
362	0.8065818773
363	0.8056873033
364	0.80494251
365	0.8042795887
366	0.8033092226
367	0.8025197055
368	0.8013953854
369	0.8006451706
370	0.7996014052
371	0.7986961671
372	0.7975417185
373	0.7964595181
374	0.7952861339
375	0.7944291186
376	0.7934461847
377	0.7926560158
378	0.7918117075
379	0.7909317711
380	0.7900446436
381	0.7892016042
382	0.7881840141
383	0.7871387901
384	0.7862682841
385	0.7853034707
386	0.7844486903
387	0.7835999957
388	0.7827548809
389	0.7817957264
390	0.7811125852
391	0.7802806393
392	0.7794498825
393	0.778516959
394	0.7776543484
395	0.776824169
396	0.7761731103
397	0.7753172009
398	0.7743704236
399	0.7733870518
400	0.7725452344
401	0.7717872017
402	0.7709446257
403	0.7700109071
404	0.7690441056
405	0.7681837362
406	0.7674654275
407	0.7667079135
408	0.765817755
409	0.7648782378
410	0.7640527717
411	0.7634343288
412	0.7627822052
413	0.7615834507
414	0.760515089
415	0.7596350573
416	0.7589235542
417	0.7581357739
418	0.7571082859
419	0.7558899266
420	0.7551162284
421	0.754322829
422	0.7535426506
423	0.75249904
424	0.7518348575
425	0.7507513752
426	0.7498346494
427	0.749088054
428	0.7483672843
429	0.7471440058
430	0.7462641114
431	0.7455011771
432	0.744499141
433	0.7438583471
434	0.7430410927
435	0.7421334915
436	0.74141131
437	0.7407055877
438	0.7399210511
439	0.7388582566
440	0.7380151627
441	0.7371930956
442	0.7365684705
443	0.7353083924
444	0.7345287502
445	0.7337189743
446	0.7328774761
447	0.7317885994
448	0.7308598065
449	0.7301337242
450	0.7291853366
451	0.7281746473
452	0.7273006881
453	0.7266265078
454	0.7257164004
455	0.724862187
456	0.7237521399
457	0.7225016194
458	0.7215246156
459	0.7206643814
460	0.7197466652
461	0.7190057618
462	0.7183308417
463	0.7176644265
464	0.7167623055
465	0.7161128845
466	0.7153744474
467	0.7146335181
468	0.713865558
469	0.713138242
470	0.7122742489
471	0.711515537
472	0.7106727941
473	0.7098315268
474	0.7090690829
475	0.7079992287
476	0.7072546099
477	0.7064314021
478	0.7058409906
479	0.7052529592
480	0.7044263431
481	0.703790842
482	0.7030209482
483	0.7021491171
484	0.7013878689
485	0.7007590724
486	0.7001479004
487	0.6993548647
488	0.6986296226
489	0.6978932051
490	0.697171622
491	0.6965042383
492	0.6958976579
493	0.6952291131
494	0.6943705556
495	0.6935256884
496	0.6928672505
497	0.6920564163
498	0.6913173996
499	0.6906537908
500	0.6900755444
501	0.6892362099
502	0.6885474206
503	0.6877000629
504	0.6870095133
505	0.6861391358
506	0.6855279069
507	0.6847256191
508	0.6840211223
509	0.6834101648
510	0.6826960572
511	0.6819594251
512	0.6812316714
513	0.6804953719
514	0.6798088503
515	0.6790605541
516	0.6782625118
517	0.6773522119
518	0.6764479214
519	0.6757534019
520	0.6751018174
521	0.6744986027
522	0.6738050984
523	0.6730288307
524	0.6723943199
525	0.6716050194
526	0.670802982
527	0.6699234309
528	0.6691443399
529	0.6684361888
530	0.6677958795
531	0.6669594503
532	0.6661061329
533	0.6653522316
534	0.6647485193
535	0.6639818396
536	0.6632897467
537	0.6625802126
538	0.661971825
539	0.6612116235
540	0.6606581808
541	0.6600108957
542	0.6592489109
543	0.6585158109
544	0.6577129233
545	0.656879335
546	0.6563704067
547	0.6554700557
548	0.6544287449
549	0.6538216039
550	0.6531927345
551	0.6525051594
552	0.6517162879
553	0.6507965449
554	0.6499608671
555	0.649160462
556	0.6485348694
557	0.6479472801
558	0.6473320099
559	0.6468486794
560	0.6460656619
561	0.6453370272
562	0.644688814
563	0.6440748978
564	0.6432008613
565	0.6424969568
566	0.6419663637
567	0.6412226776
568	0.6406667307
569	0.639973774
570	0.6395088732
571	0.638990158
572	0.6384209472
573	0.6379840561
574	0.6373280783
575	0.6367516873
576	0.635891317
577	0.6351185569
578	0.6344138777
579	0.6337001382
580	0.6330662242
581	0.6322998888
582	0.6316162203
583	0.6310489005
584	0.6303314077
585	0.6298428507
586	0.6293005979
587	0.6287721827
588	0.6281493726
589	0.6272027269
590	0.6264719308
591	0.6258313559
592	0.6252566669
593	0.6245160259
594	0.6240411681
595	0.6234285125
596	0.6228648652
597	0.6222263725
598	0.6216933328
599	0.6210802472
600	0.6203522078
601	0.6198165261
602	0.6191884722
603	0.6186471605
604	0.6178767648
605	0.6173324218
606	0.6166068792
607	0.6160392292
608	0.6152403219
609	0.6146536356
610	0.613929649
611	0.6133694793
612	0.6127864174
613	0.6121969293
614	0.6116798822
615	0.6110839823
616	0.6103331653
617	0.6097967532
618	0.6092305741
619	0.6086669479
620	0.6081410109
621	0.6074171515
622	0.606957311
623	0.6063850244
624	0.6057069863
625	0.6051443716
626	0.6044945574
627	0.6038329631
628	0.60307109
629	0.6024642579
630	0.6015386829
631	0.6009139176
632	0.6002794734
633	0.5995737669
634	0.5990433055
635	0.5984016552
636	0.5977578499
637	0.5972674334
638	0.5966227679
639	0.5958303727
640	0.5953294352
641	0.5948813257
642	0.5942683439
643	0.5936610228
644	0.5931472212
645	0.592706578
646	0.5920088854
647	0.5915285329
648	0.5909687349
649	0.5904884429
650	0.5899520739
651	0.5893874108
652	0.5887197779
653	0.5881836888
654	0.5877227798
655	0.5871129448
656	0.5865937043
657	0.5859497449
658	0.5853668853
659	0.5849098564
660	0.5843607081
661	0.5838397997
662	0.5831754336
663	0.582485298
664	0.5818161982
665	0.5812909956
666	0.580607832
667	0.5800554546
668	0.579362243
669	0.578687212
670	0.5778639203
671	0.5773176939
672	0.5765894017
673	0.5759895884
674	0.5754702325
675	0.5749611022
676	0.5744666456
677	0.5739936365
678	0.5733309763
679	0.5727786114
680	0.572154643
681	0.571830594
682	0.5713622795
683	0.5706897516
684	0.570129076
685	0.5696619513
686	0.5690879647
687	0.5684645764
688	0.5679693271
689	0.5676127295
690	0.5670417824
691	0.5664730095
692	0.5658581792
693	0.5655123496
694	0.5650612098
695	0.5646203177
696	0.5640338303
697	0.5635919335
698	0.5630110182
699	0.5626618871
700	0.5623091455
701	0.5617702007
702	0.5613184995
703	0.560866904
704	0.560381983
705	0.5597527669
706	0.5592445246
707	0.5587311636
708	0.5583161924
709	0.5577186121
710	0.5571251175
711	0.5566482036
712	0.5562163462
713	0.5556711596
714	0.5552285627
715	0.5548666902
716	0.5545077415
717	0.5538819536
718	0.5534093148
